task_id,dir,budget,winner,objective,input_shape,cell,rows,n_decisions,coverage,x_dup_rate,smac_on_table,ezr_on_table
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,30,smac,multi,large-numeric,multi | large-numeric,1470,32,-97.61,0.0,0.0,1.0
process__pom3d,process,50,ezr,multi,large-numeric,multi | large-numeric,500,9,-71.73,0.0,0.0,1.0
process__xomo_flight,process,50,smac,multi,large-numeric,multi | large-numeric,10000,24,-239.16,0.0,0.0,1.0
process__xomo_ground,process,50,smac,multi,large-numeric,multi | large-numeric,10000,24,-239.36,0.0,0.0,1.0
process__xomo_osp,process,50,smac,multi,large-numeric,multi | large-numeric,10000,24,-239.31,0.0,0.0,1.0
process__xomo_osp2,process,50,ezr,multi,large-numeric,multi | large-numeric,10000,24,-193.44,0.0,0.0,1.0
rl__A2C_Acrobot,rl,50,smac,multi,large-numeric,multi | large-numeric,223,10,-42.06,0.0,0.0,1.0
rl__A2C_CartPole,rl,50,ezr,multi,large-numeric,multi | large-numeric,317,7,-36.5,0.0,0.0,1.0
sales_data__Marketing_Analytics,sales_data,50,smac,multi,large-numeric,multi | large-numeric,2205,31,-101.35,0.0921,0.0,1.0
sales_data__accessories,sales_data,50,smac,multi,large-numeric,multi | large-numeric,1121,14,-48.1,0.0,0.0,1.0
sales_data__dress-up,sales_data,50,smac,multi,large-numeric,multi | large-numeric,882,20,-59.37,0.0,0.0,1.0
sales_data__socks,sales_data,50,tie,single,small-numeric,single | small-numeric,350,20,-4.25,0.0,0.04,1.0
systems__7z,systems,50,tie,single,small-numeric,single | small-numeric,68640,14,-2.68,0.0,0.22,1.0
systems__BDBC,systems,50,tie,single,binary/SAT,single | binary/SAT,2560,16,-4.68,0.0,0.07,1.0
systems__HSQLDB,systems,50,tie,single,binary/SAT,single | binary/SAT,864,18,-5.25,0.0,0.02,1.0
systems__LLVM,systems,50,tie,single,binary/SAT,single | binary/SAT,1024,10,0.0,0.0,1.0,1.0
systems__PostgreSQL,systems,50,tie,single,small-numeric,single | small-numeric,19008,9,0.0,0.9545,1.0,1.0
systems__dconvert,systems,50,tie,single,binary/SAT,single | binary/SAT,6764,18,-7.1,0.7176,0.0,1.0
systems__deeparch,systems,50,tie,single,binary/SAT,single | binary/SAT,4096,12,0.0,0.0,1.0,1.0
systems__exastencils,systems,50,tie,single,small-numeric,single | small-numeric,86058,12,-2.93,0.0,0.16,1.0
systems__javagc,systems,50,tie,single,large-numeric,single | large-numeric,166975,35,-82.48,0.0151,0.0,1.0
systems__redis,systems,50,ezr,single,large-numeric,single | large-numeric,4400,9,-43.08,0.283,0.0,1.0
systems__storm,systems,50,tie,single,binary/SAT,single | binary/SAT,1557,12,-1.4,0.0,0.3,1.0
systems__x264,systems,50,ezr,single,large-numeric,single | large-numeric,53662,17,-73.38,0.0263,0.0,1.0
test__dataset120,test,50,ezr,single,large-numeric,single | large-numeric,4852,9,-86.13,0.007,0.0,1.0
test__dataset600,test,50,ezr,single,large-numeric,single | large-numeric,4845,9,-86.92,0.0083,0.0,1.0
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,100,smac,multi,large-numeric,multi | large-numeric,1470,32,-97.61,0.0,0.0,1.0
behavior_data__all_players,behavior_data,100,tie,multi,large-numeric,multi | large-numeric,17737,55,-258.48,0.0,0.0,1.0
behavior_data__player_statistics_cleaned_final,behavior_data,100,ezr,single,large-numeric,single | large-numeric,81,26,-96.61,0.0,0.0,1.0
behavior_data__student_dropout,behavior_data,100,tie,single,large-numeric,single | large-numeric,649,33,-56.22,0.0,0.0,1.0
binary_config__FFM-1000-200-0.50-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,1044,-0.71,0.0,0.455,1.0
binary_config__FFM-125-25-0.50-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,128,-13.71,0.0,0.0,1.0
binary_config__FFM-250-50-0.50-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,256,-0.71,0.0,0.69,1.0
binary_config__FFM-500-100-0.50-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,510,-4.71,0.0,0.05,1.0
binary_config__FM-500-100-0.25-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,517,-7.71,0.0,0.0,1.0
binary_config__FM-500-100-0.50-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,513,-6.71,0.0,0.01,1.0
binary_config__FM-500-100-0.75-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,511,-0.71,0.0,0.5,1.0
binary_config__FM-500-100-1.00-SAT-1,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,511,-1.71,0.0,0.33,1.0
binary_config__Scrum100k,binary_config,100,smac,multi,small-numeric,multi | small-numeric,100000,124,-4.39,0.0,0.06,1.0
binary_config__Scrum10k,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,124,-4.71,0.0,0.035,1.0
binary_config__Scrum1k,binary_config,100,smac,multi,small-numeric,multi | small-numeric,1000,124,-3.03,0.0,0.12,1.0
binary_config__billing10k,binary_config,100,smac,multi,small-numeric,multi | small-numeric,10000,88,-0.71,0.0,0.715,1.0
config__Apache_AllMeasurements,config,100,tie,single,binary/SAT,single | binary/SAT,192,9,-0.42,0.0,0.755,1.0
config__HSMGP_num,config,100,tie,single,small-numeric,single | small-numeric,3456,14,-4.86,0.0,0.05,1.0
config__SQL_AllMeasurements,config,100,tie,single,binary/SAT,single | binary/SAT,4653,38,-25.99,0.112,0.0,1.0
config__SS-A,config,100,smac,multi,small-numeric,multi | small-numeric,1343,3,-0.06,0.0,0.97,1.0
config__SS-B,config,100,smac,multi,small-numeric,multi | small-numeric,206,3,-1.71,0.0,0.295,1.0
config__SS-C,config,100,smac,multi,small-numeric,multi | small-numeric,1512,3,0.0,0.0,1.0,1.0
config__SS-D,config,100,tie,multi,small-numeric,multi | small-numeric,196,3,0.0,0.0,1.0,1.0
config__SS-E,config,100,smac,multi,small-numeric,multi | small-numeric,756,3,0.0,0.0,1.0,1.0
config__SS-F,config,100,smac,multi,small-numeric,multi | small-numeric,196,3,0.0,0.0,1.0,1.0
config__SS-G,config,100,smac,multi,small-numeric,multi | small-numeric,196,3,0.0,0.0,1.0,1.0
config__SS-H,config,100,smac,multi,small-numeric,multi | small-numeric,259,4,-0.11,0.0,0.93,1.0
config__SS-I,config,100,smac,multi,small-numeric,multi | small-numeric,1080,5,0.0,0.0,1.0,1.0
config__SS-J,config,100,smac,multi,small-numeric,multi | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__SS-K,config,100,smac,multi,small-numeric,multi | small-numeric,2880,6,0.0,0.0,1.0,1.0
config__SS-L,config,100,smac,multi,binary/SAT,multi | binary/SAT,1023,11,-0.42,0.2493,0.73,1.0
config__SS-M,config,100,tie,multi,binary/SAT,multi | binary/SAT,864,17,-5.25,0.0,0.03,1.0
config__SS-N,config,100,ezr,multi,large-numeric,multi | large-numeric,53662,17,-73.38,0.0263,0.0,1.0
config__SS-O,config,100,smac,multi,small-numeric,multi | small-numeric,972,11,-1.83,0.0,0.28,1.0
config__SS-P,config,100,smac,multi,binary/SAT,multi | binary/SAT,1023,11,-0.42,0.2493,0.77,1.0
config__SS-Q,config,100,tie,multi,small-numeric,multi | small-numeric,2736,13,-3.34,0.0,0.07500000000000001,1.0
config__SS-R,config,100,tie,multi,small-numeric,multi | small-numeric,3008,14,-3.62,0.0,0.1,1.0
config__SS-S,config,100,tie,multi,small-numeric,multi | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__SS-T,config,100,smac,multi,small-numeric,multi | small-numeric,5184,12,-3.42,0.0,0.2,1.0
config__SS-U,config,100,tie,multi,binary/SAT,multi | binary/SAT,4608,21,-4.83,0.0,0.08,1.0
config__SS-V,config,100,smac,multi,binary/SAT,multi | binary/SAT,6840,16,-6.17,0.0,0.015,1.0
config__SS-W,config,100,smac,multi,binary/SAT,multi | binary/SAT,65536,16,0.0,0.0,1.0,1.0
config__SS-X,config,100,smac,multi,small-numeric,multi | small-numeric,86058,11,-2.93,0.0,0.07,1.0
config__X264_AllMeasurements,config,100,tie,single,binary/SAT,single | binary/SAT,1152,16,-2.83,0.0,0.20500000000000002,1.0
config__rs-6d-c3_obj1,config,100,tie,single,small-numeric,single | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__rs-6d-c3_obj2,config,100,tie,single,small-numeric,single | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__sol-6d-c2-obj1,config,100,tie,single,small-numeric,single | small-numeric,2866,6,-0.01,0.0,0.995,1.0
config__wc+rs-3d-c4-obj1,config,100,tie,single,small-numeric,single | small-numeric,196,3,0.0,0.0,1.0,1.0
config__wc+sol-3d-c4-obj1,config,100,tie,single,small-numeric,single | small-numeric,196,3,0.0,0.0,1.0,1.0
config__wc+wc-3d-c4-obj1,config,100,tie,single,small-numeric,single | small-numeric,196,3,0.0,0.0,1.0,1.0
config__wc-6d-c1-obj1,config,100,tie,single,small-numeric,single | small-numeric,2880,6,0.0,0.0,1.0,1.0
financial_data__BankChurners,financial_data,100,smac,multi,large-numeric,multi | large-numeric,10127,19,-92.45,0.0,0.0,1.0
financial_data__Loan,financial_data,100,smac,multi,large-numeric,multi | large-numeric,20000,31,-243.34,0.0,0.0,1.0
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,financial_data,100,tie,multi,large-numeric,multi | large-numeric,7043,19,-29.45,0.0,0.0,1.0
financial_data__home_data_for_ml_course,financial_data,100,smac,multi,large-numeric,multi | large-numeric,1460,77,-290.02,0.0,0.0,1.0
health_data__Life_Expectancy_Data,health_data,100,ezr,multi,large-numeric,multi | large-numeric,2938,20,-148.54,0.0,0.0,1.0
health_data__Medical_Data_and_Hospital_Readmissions,health_data,100,ezr,single,large-numeric,single | large-numeric,25000,64,-73.42,0.0,0.0,1.0
hpo__Health-ClosedIssues0000,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.005,1.0
hpo__Health-ClosedIssues0001,hpo,100,ezr,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0002,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0003,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
hpo__Health-ClosedIssues0004,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0005,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0006,hpo,100,ezr,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0007,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.005,1.0
hpo__Health-ClosedIssues0008,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0009,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0010,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedIssues0011,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0000,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0002,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0003,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0004,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0005,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
hpo__Health-ClosedPRs0006,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0007,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0008,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
hpo__Health-ClosedPRs0009,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0010,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-ClosedPRs0011,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0000,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
hpo__Health-Commits0001,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0002,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0003,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0004,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.02,1.0
hpo__Health-Commits0005,hpo,100,ezr,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.005,1.0
hpo__Health-Commits0006,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0007,hpo,100,ezr,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0008,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0009,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0010,hpo,100,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.01,1.0
hpo__Health-Commits0011,hpo,100,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
misc__Car_price_cleaned,misc,100,ezr,multi,large-numeric,multi | large-numeric,205,38,-189.74,0.0,0.0,1.0
misc__Wine_quality,misc,100,ezr,multi,large-numeric,multi | large-numeric,1599,10,-58.33,0.1526,0.0,1.0
misc__auto93,misc,100,tie,multi,small-numeric,multi | small-numeric,398,4,-5.39,0.2312,0.02,1.0
process__coc1000,process,100,ezr,multi,large-numeric,multi | large-numeric,1000,20,-36.76,0.0,0.0,1.0
process__nasa93dem,process,100,smac,multi,small-numeric,multi | small-numeric,93,22,-18.88,0.4086,0.0,1.0
process__pom3a,process,100,ezr,multi,large-numeric,multi | large-numeric,20000,9,-114.3,0.0,0.0,1.0
process__pom3b,process,100,ezr,multi,large-numeric,multi | large-numeric,20000,9,-114.3,0.0,0.0,1.0
process__pom3c,process,100,ezr,multi,large-numeric,multi | large-numeric,20000,9,-114.3,0.0,0.0,1.0
process__pom3d,process,100,ezr,multi,large-numeric,multi | large-numeric,500,9,-71.73,0.0,0.0,1.0
process__xomo_flight,process,100,smac,multi,large-numeric,multi | large-numeric,10000,24,-239.16,0.0,0.0,1.0
process__xomo_ground,process,100,smac,multi,large-numeric,multi | large-numeric,10000,24,-239.36,0.0,0.0,1.0
process__xomo_osp,process,100,smac,multi,large-numeric,multi | large-numeric,10000,24,-239.31,0.0,0.0,1.0
process__xomo_osp2,process,100,ezr,multi,large-numeric,multi | large-numeric,10000,24,-193.44,0.0,0.0,1.0
rl__A2C_Acrobot,rl,100,smac,multi,large-numeric,multi | large-numeric,223,10,-42.06,0.0,0.0,1.0
rl__A2C_CartPole,rl,100,smac,multi,large-numeric,multi | large-numeric,317,7,-36.5,0.0,0.0,1.0
sales_data__Marketing_Analytics,sales_data,100,smac,multi,large-numeric,multi | large-numeric,2205,31,-101.35,0.0921,0.0,1.0
sales_data__accessories,sales_data,100,smac,multi,large-numeric,multi | large-numeric,1121,14,-48.1,0.0,0.0,1.0
sales_data__dress-up,sales_data,100,smac,multi,large-numeric,multi | large-numeric,882,20,-59.37,0.0,0.0,1.0
sales_data__socks,sales_data,100,tie,single,small-numeric,single | small-numeric,350,20,-4.25,0.0,0.03,1.0
systems__7z,systems,100,tie,single,small-numeric,single | small-numeric,68640,14,-2.68,0.0,0.265,1.0
systems__BDBC,systems,100,tie,single,binary/SAT,single | binary/SAT,2560,16,-4.68,0.0,0.07,1.0
systems__HSQLDB,systems,100,tie,single,binary/SAT,single | binary/SAT,864,18,-5.25,0.0,0.04,1.0
systems__LLVM,systems,100,smac,single,binary/SAT,single | binary/SAT,1024,10,0.0,0.0,1.0,1.0
systems__PostgreSQL,systems,100,tie,single,small-numeric,single | small-numeric,19008,9,0.0,0.9545,1.0,1.0
systems__dconvert,systems,100,smac,single,binary/SAT,single | binary/SAT,6764,18,-7.1,0.7176,0.01,1.0
systems__deeparch,systems,100,tie,single,binary/SAT,single | binary/SAT,4096,12,0.0,0.0,1.0,1.0
systems__exastencils,systems,100,smac,single,small-numeric,single | small-numeric,86058,12,-2.93,0.0,0.17,1.0
systems__javagc,systems,100,tie,single,large-numeric,single | large-numeric,166975,35,-82.48,0.0151,0.0,1.0
systems__redis,systems,100,ezr,single,large-numeric,single | large-numeric,4400,9,-43.08,0.283,0.0,1.0
systems__storm,systems,100,tie,single,binary/SAT,single | binary/SAT,1557,12,-1.4,0.0,0.325,1.0
systems__x264,systems,100,ezr,single,large-numeric,single | large-numeric,53662,17,-73.38,0.0263,0.0,1.0
test__dataset120,test,100,ezr,single,large-numeric,single | large-numeric,4852,9,-86.13,0.007,0.0,1.0
test__dataset600,test,100,ezr,single,large-numeric,single | large-numeric,4845,9,-86.92,0.0083,0.0,1.0
